[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/http/cookiejar.py first seen with mtime 1530192454.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/discoveryvr.py first seen with mtime 1557452378.8922548
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/ruhd.py first seen with mtime 1557452378.9442554
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/urls/converters.py first seen with mtime 1557533264.7854853
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/frontendmasters.py first seen with mtime 1557452378.8922548
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/lib-dynload/_sha3.cpython-37m-x86_64-linux-gnu.so first seen with mtime 1530192563.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/utils/timezone.py first seen with mtime 1557533264.7894852
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/collections/__init__.py first seen with mtime 1530192453.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/turner.py first seen with mtime 1557452378.9602556
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/webofstories.py first seen with mtime 1557452378.904255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/views/defaults.py first seen with mtime 1557533264.7894852
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/logging/config.py first seen with mtime 1530192455.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/dailymail.py first seen with mtime 1557452378.9082549
